model,entity_type,precision,recall,f1,support
PhoBERT,CREDITCARDISSUER,0.963302752293578,0.9813084112149533,0.9722222222222222,107
PhoBERT,CREDITCARDNUMBER,0.8494623655913979,0.9575757575757575,0.9002849002849003,165
PhoBERT,CURRENCY,0.967948717948718,0.9805194805194806,0.9741935483870969,154
PhoBERT,CURRENCYCODE,0.8450704225352113,0.9230769230769231,0.8823529411764706,65
PhoBERT,CURRENCYNAME,0.9848484848484849,1.0,0.9923664122137404,65
PhoBERT,CURRENCYSYMBOL,0.9296482412060302,0.9390862944162437,0.9343434343434344,197
PhoBERT,DATE,0.8,0.8768768768768769,0.8366762177650431,333
PhoBERT,DOB,0.7455621301775148,0.7078651685393258,0.7262247838616714,178
PhoBERT,EMAIL,0.9866220735785953,0.9966216216216216,0.9915966386554622,296
PhoBERT,ETHEREUMADDRESS,0.990990990990991,0.990990990990991,0.990990990990991,111
PhoBERT,EYECOLOR,1.0,1.0,1.0,64
PhoBERT,FIRSTNAME,0.9645320197044335,0.944069431051109,0.9541910331384016,1037
PhoBERT,GENDER,0.9640718562874252,0.9877300613496932,0.9757575757575757,163
PhoBERT,HEIGHT,0.9285714285714286,0.9629629629629629,0.9454545454545454,54
PhoBERT,IBAN,0.9810126582278481,0.9872611464968153,0.9841269841269842,157
PhoBERT,IPADDRESS,0.9892280071813285,0.9874551971326165,0.9883408071748879,558
PhoBERT,JOBAREA,0.9535864978902954,0.9912280701754386,0.9720430107526881,228
PhoBERT,JOBTITLE,0.8615384615384616,0.9294605809128631,0.8942115768463074,241
PhoBERT,JOBTYPE,0.9050279329608939,0.8307692307692308,0.8663101604278074,195
PhoBERT,LASTNAME,0.9741379310344828,0.9658119658119658,0.9699570815450644,351
PhoBERT,LITECOINADDRESS,0.9838709677419355,0.953125,0.9682539682539683,64
PhoBERT,MAC,0.9883720930232558,0.9883720930232558,0.9883720930232558,86
PhoBERT,MASKEDNUMBER,0.9513888888888888,0.845679012345679,0.8954248366013071,162
PhoBERT,MIDDLENAME,0.8571428571428571,0.9230769230769231,0.888888888888889,195
PhoBERT,NEARBYGPSCOORDINATE,1.0,1.0,1.0,127
PhoBERT,ORDINALDIRECTION,0.9764705882352941,0.9325842696629213,0.9540229885057471,89
PhoBERT,PASSWORD,0.9946524064171123,0.9841269841269841,0.9893617021276594,189
PhoBERT,PHONEIMEI,1.0,1.0,1.0,124
PhoBERT,PHONENUMBER,0.9797979797979798,0.9897959183673469,0.9847715736040609,196
PhoBERT,PIN,0.9841269841269841,1.0,0.9919999999999999,62
PhoBERT,PREFIX,0.9166666666666666,0.9844357976653697,0.949343339587242,257
PhoBERT,SECONDARYADDRESS,0.9636363636363636,0.9754601226993865,0.9695121951219513,163
PhoBERT,SEX,0.9101796407185628,0.9440993788819876,0.9268292682926829,161
PhoBERT,STATE,0.9909502262443439,1.0,0.9954545454545455,219
PhoBERT,STREET,0.9949238578680203,0.9949238578680203,0.9949238578680203,197
PhoBERT,TIME,0.9781659388646288,0.9739130434782609,0.9760348583877995,230
PhoBERT,URL,0.9954337899543378,0.9954337899543378,0.9954337899543378,219
PhoBERT,USERAGENT,0.9940828402366864,0.9940828402366864,0.9940828402366864,169
PhoBERT,USERNAME,0.9663865546218487,0.9913793103448276,0.9787234042553192,232
PhoBERT,VEHICLEVIN,0.9857142857142858,0.9857142857142858,0.9857142857142858,70
PhoBERT,VEHICLEVRM,0.9863013698630136,0.9863013698630136,0.9863013698630136,73
PhoBERT,ZIPCODE,1.0,0.9947089947089947,0.9973474801061007,189
XLM-RoBERTa,ACCOUNTNAME,0.9788135593220338,0.9871794871794872,0.9829787234042553,234
XLM-RoBERTa,ACCOUNTNUMBER,1.0,1.0,1.0,286
XLM-RoBERTa,AGE,0.9825581395348837,0.976878612716763,0.9797101449275363,173
XLM-RoBERTa,AMOUNT,0.9812734082397003,0.9739776951672863,0.9776119402985075,269
XLM-RoBERTa,BIC,1.0,1.0,1.0,69
XLM-RoBERTa,BITCOINADDRESS,0.9675675675675676,1.0,0.9835164835164836,179
XLM-RoBERTa,BUILDINGNUMBER,0.9897959183673469,0.9864406779661017,0.9881154499151105,295
XLM-RoBERTa,CCCD,0.9865771812080537,0.9865771812080537,0.9865771812080537,149
XLM-RoBERTa,CITY,1.0,1.0,1.0,204
XLM-RoBERTa,COMPANYNAME,0.9222797927461139,0.9222797927461139,0.9222797927461139,193
XLM-RoBERTa,COUNTY,0.9866071428571429,1.0,0.9932584269662922,221
XLM-RoBERTa,CREDITCARDCVV,0.9642857142857143,0.9878048780487805,0.9759036144578312,82
XLM-RoBERTa,CREDITCARDISSUER,0.9818181818181818,0.9908256880733946,0.9863013698630138,109
XLM-RoBERTa,CREDITCARDNUMBER,0.8365384615384616,0.9508196721311475,0.8900255754475703,183
XLM-RoBERTa,CURRENCY,0.9868421052631579,0.974025974025974,0.9803921568627451,154
